original,clean_legal_name,search_core_name,predecessor,status,successor,fdic_query_main,fdic_query_pred
City Bank,City Bank,City Bank,,Active,,NAME:*CITY\ BANK*,
City Bank Ltd,City Bank Ltd,City Bank,,Active,,NAME:*CITY\ BANK*,
City First Bank,City First Bank,City First Bank,,Active,,NAME:*CITY\ FIRST\ BANK*,
City National Bank,City National Bank,City National Bank,,Active,,NAME:*CITY\ NATIONAL\ BANK*,
City National Bank of Florida,City National Bank of Florida,City National Bank of Florida,,Active,,NAME:*CITY\ NATIONAL\ BANK\ OF\ FLORIDA*,
City National Bank of New Jersey,City National Bank of New Jersey,City National Bank of New Jersey,,Active,,NAME:*CITY\ NATIONAL\ BANK\ OF\ NEW\ JERSEY*,
City National Bank of West Virginia,City National Bank of West Virginia,City National Bank of West Virginia,,Active,,NAME:*CITY\ NATIONAL\ BANK\ OF\ WEST\ VIRGINIA*,
City Union Bank,City Union Bank,City Union Bank,,Active,,NAME:*CITY\ UNION\ BANK*,
Citywide Banks,Citywide Banks,Citywide Banks,,Active,,NAME:*CITYWIDE\ BANKS*,
Civista Bank,Civista Bank,Civista Bank,,Active,,NAME:*CIVISTA\ BANK*,
Clarkson Bank,Clarkson Bank,Clarkson Bank,,Active,,NAME:*CLARKSON\ BANK*,
Climate First Bank,Climate First Bank,Climate First Bank,,Active,,NAME:*CLIMATE\ FIRST\ BANK*,
CoBank,CoBank,CoBank,,Active,,NAME:*COBANK*,
Coamerica Bank,Coamerica Bank,Coamerica Bank,,Active,,NAME:*COAMERICA\ BANK*,
Coastal Bank of Georgia,Coastal Bank of Georgia,Coastal Bank of Georgia,,Active,,NAME:*COASTAL\ BANK\ OF\ GEORGIA*,
Coastal States Bank,Coastal States Bank,Coastal States Bank,,Active,,NAME:*COASTAL\ STATES\ BANK*,
Cobank ACB,CoBank ACB,CoBank ACB,,Active,,NAME:*COBANK\ ACB*,
Cogent Bank,Cogent Bank,Cogent Bank,,Active,,NAME:*COGENT\ BANK*,
Cole Taylor Bank,Cole Taylor Bank,Cole Taylor Bank,,Acquired,,NAME:*COLE\ TAYLOR\ BANK*,
Colonial Bank,Colonial Bank,Colonial Bank,,Failed,,NAME:*COLONIAL\ BANK*,
Colony Bank,Colony Bank,Colony Bank,,Active,,NAME:*COLONY\ BANK*,
Colorado Business Bank,Colorado Business Bank,Colorado Business Bank,,Active,,NAME:*COLORADO\ BUSINESS\ BANK*,
Colorado State Bank & Trust,Colorado State Bank & Trust,Colorado State Bank Trust,,Active,,NAME:*COLORADO\ STATE\ BANK\ TRUST*,
Columbia Bank,Columbia Bank,Columbia Bank,,Active,,NAME:*COLUMBIA\ BANK*,
Columbia State Bank,Columbia State Bank,Columbia State Bank,,Active,,NAME:*COLUMBIA\ STATE\ BANK*,
Columbus Bank & Trust Co,Columbus Bank & Trust Co,Columbus Bank & Trust,,Active,,NAME:*COLUMBUS\ BANK\ TRUST*,
Comerica Bank,Comerica Bank,Comerica Bank,,Active,,NAME:*COMERICA\ BANK*,
Comerica Bank & Trust,Comerica Bank & Trust,Comerica Bank Trust,,Active,,NAME:*COMERICA\ BANK\ TRUST*,
Comerica Bank - Texas,Comerica Bank - Texas,Comerica Bank Texas,,Active,,NAME:*COMERICA\ BANK\ TEXAS*,
Comerica Bank NA,Comerica Bank NA,Comerica Bank,,Active,,NAME:*COMERICA\ BANK*,
Citizens Bank of Massachusetts,Citizens Bank of Massachusetts,Citizens Bank of Massachusetts,,Active,,NAME:*CITIZENS\ BANK\ OF\ MASSACHUSETTS*,
Citizens Bank of New Hampshire,Citizens Bank of New Hampshire,Citizens Bank of New Hampshire,,Active,,NAME:*CITIZENS\ BANK\ OF\ NEW\ HAMPSHIRE*,
Citizens Bank of Pennsylvania,Citizens Bank of Pennsylvania,Citizens Bank of Pennsylvania,,Active,,NAME:*CITIZENS\ BANK\ OF\ PENNSYLVANIA*,
Citizens Bank of Rhode Island,Citizens Bank of Rhode Island,Citizens Bank of Rhode Island,,Active,,NAME:*CITIZENS\ BANK\ OF\ RHODE\ ISLAND*,
Citizens Business Bank,Citizens Business Bank,Citizens Business Bank,,Active,,NAME:*CITIZENS\ BUSINESS\ BANK*,
Citizens Financial Group,Citizens Financial Group,Citizens Financial Group,,Active,,NAME:*CITIZENS\ FINANCIAL\ GROUP*,
Citizens First Bank,Citizens First Bank,Citizens First Bank,,Active,,NAME:*CITIZENS\ FIRST\ BANK*,
Citizens First National Bank NJ,Citizens First National Bank,Citizens First National Bank,,Active,,NAME:*CITIZENS\ FIRST\ NATIONAL\ BANK*,
Caisse Centrale des Caisses d'Epargne et de Prevoyance [CCCEP],Caisse Centrale des Caisses d'Epargne et de Prevoyance,Caisse Centrale des Caisses d'Epargne et de Prevoyance,,Acquired,,NAME:*CAISSE\ CENTRALE\ DES\ CAISSES\ DEPARGNE\ ET\ DE\ PREVOYANCE*,
Caisse Epargne Rhone Alpes,Caisse Epargne Rhone Alpes,Caisse Epargne Rhone Alpes,,Acquired,,NAME:*CAISSE\ EPARGNE\ RHONE\ ALPES*,
Caisse Federale de Credit Mutuel,Caisse Federale de Credit Mutuel,Caisse Federale de Credit Mutuel,,Active,,NAME:*CAISSE\ FEDERALE\ DE\ CREDIT\ MUTUEL*,
Caisse Regionale de Credit Agricole Mutuel de Centre France,Caisse Regionale de Credit Agricole Mutuel de Centre France,Caisse Regionale de Credit Agricole Mutuel de Centre France,,Active,,NAME:*CAISSE\ REGIONALE\ DE\ CREDIT\ AGRICOLE\ MUTUEL\ DE\ CENTRE\ FRANCE*,
Caisse Regionale de Credit Agricole Mutuel de Centre Loire,Caisse Regionale de Credit Agricole Mutuel de Centre Loire,Caisse Regionale de Credit Agricole Mutuel de Centre Loire,,Active,,NAME:*CAISSE\ REGIONALE\ DE\ CREDIT\ AGRICOLE\ MUTUEL\ DE\ CENTRE\ LOIRE*,
Caisse Regionale de Credit Agricole Mutuel de Normandie,Caisse Regionale de Credit Agricole Mutuel de Normandie,Caisse Regionale de Credit Agricole Mutuel de Normandie,,Active,,NAME:*CAISSE\ REGIONALE\ DE\ CREDIT\ AGRICOLE\ MUTUEL\ DE\ NORMANDIE*,
Caisse Regionale de Credit Agricole Mutuel de Paris et d'Ile de France,Caisse Regionale de Credit Agricole Mutuel de Paris et d'Ile de France,Caisse Regionale de Credit Agricole Mutuel de Paris et d'Ile de France,,Active,,NAME:*CAISSE\ REGIONALE\ DE\ CREDIT\ AGRICOLE\ MUTUEL\ DE\ PARIS\ ET\ DILE\ DE\ FRANCE*,
Caisse Regionale de Credit Agricole Mutuel de Toulouse 31 SC,Caisse Regionale de Credit Agricole Mutuel de Toulouse 31,Caisse Regionale de Credit Agricole Mutuel de Toulouse 31,,Active,,NAME:*CAISSE\ REGIONALE\ DE\ CREDIT\ AGRICOLE\ MUTUEL\ DE\ TOULOUSE\ 31*,
Caisse Regionale de Credit Agricole Sud Rhone Alpes,Caisse Regionale de Credit Agricole Sud Rhone Alpes,Caisse Regionale de Credit Agricole Sud Rhone Alpes,,Active,,NAME:*CAISSE\ REGIONALE\ DE\ CREDIT\ AGRICOLE\ SUD\ RHONE\ ALPES*,
Caisse Regionale du Credit Agricole Mutuel du Languedoc [CRLA],Caisse Regionale du Credit Agricole Mutuel du Languedoc,Caisse Regionale du Credit Agricole Mutuel du Languedoc,,Active,,NAME:*CAISSE\ REGIONALE\ DU\ CREDIT\ AGRICOLE\ MUTUEL\ DU\ LANGUEDOC*,
Caisse d'Epargne Ile de France,Caisse d'Epargne Ile de France,Caisse d'Epargne Ile de France,,Acquired,,NAME:*CAISSE\ DEPARGNE\ ILE\ DE\ FRANCE*,
Caisse d'Epargne Lorraine Champagne-Ardenne,Caisse d'Epargne Lorraine Champagne-Ardenne,Caisse d'Epargne Lorraine Champagne-Ardenne,,Acquired,,NAME:*CAISSE\ DEPARGNE\ LORRAINE\ CHAMPAGNEARDENNE*,
Caisse d'Epargne Nord France Europe,Caisse d'Epargne Nord France Europe,Caisse d'Epargne Nord France Europe,,Acquired,,NAME:*CAISSE\ DEPARGNE\ NORD\ FRANCE\ EUROPE*,
Caisse d'Epargne Normandie,Caisse d'Epargne Normandie,Caisse d'Epargne Normandie,,Acquired,,NAME:*CAISSE\ DEPARGNE\ NORMANDIE*,
Caisse d'Epargne Rhone-Alpes-Lyon,Caisse d'Epargne Rhone-Alpes-Lyon,Caisse d'Epargne Rhone-Alpes-Lyon,,Acquired,,NAME:*CAISSE\ DEPARGNE\ RHONEALPESLYON*,
Caisse d'Epargne d'Auvergne et du Limousin [CEPAL],Caisse d'Epargne d'Auvergne et du Limousin,Caisse d'Epargne d'Auvergne et du Limousin,,Acquired,,NAME:*CAISSE\ DEPARGNE\ DAUVERGNE\ ET\ DU\ LIMOUSIN*,
Caisse d'Epargne et de Prevoyance Grand Est Europe SA,Caisse d'Epargne et de Prevoyance Grand Est Europe,Caisse d'Epargne et de Prevoyance Grand Est Europe,,Acquired,,NAME:*CAISSE\ DEPARGNE\ ET\ DE\ PREVOYANCE\ GRAND\ EST\ EUROPE*,
Caisse d'Epargne et de Prevoyance Ile-de-France,Caisse d'Epargne et de Prevoyance Ile-de-France,Caisse d'Epargne et de Prevoyance Ile-de-France,,Acquired,,NAME:*CAISSE\ DEPARGNE\ ET\ DE\ PREVOYANCE\ ILEDEFRANCE*,
Caisse d'Epargne et de Prevoyance d'Augvergne,Caisse d'Epargne et de Prevoyance d'Augvergne,Caisse d'Epargne et de Prevoyance d'Augvergne,,Acquired,,NAME:*CAISSE\ DEPARGNE\ ET\ DE\ PREVOYANCE\ DAUGVERGNE*,
Caisse d'Epargne et de Prevoyance de Normandie,Caisse d'Epargne et de Prevoyance de Normandie,Caisse d'Epargne et de Prevoyance de Normandie,,Acquired,,NAME:*CAISSE\ DEPARGNE\ ET\ DE\ PREVOYANCE\ DE\ NORMANDIE*,
Caixa Banco do Investimento SA [CaixaBI],Caixa Banco do Investimento,Caixa Banco do Investimento,,Active,,NAME:*CAIXA\ BANCO\ DO\ INVESTIMENTO*,
Caixa Central de Credito Agrario Mutuo,Caixa Central de Credito Agrario Mutuo,Caixa Central de Credito Agrario Mutuo,,Active,,NAME:*CAIXA\ CENTRAL\ DE\ CREDITO\ AGRARIO\ MUTUO*,
Caixa Geral de Depositos New York,Caixa Geral de Depositos,Caixa Geral de Depositos,,Active,,NAME:*CAIXA\ GERAL\ DE\ DEPOSITOS*,
Caixa Geral de Depositos SA [CGD],Caixa Geral de Depositos SA,Caixa Geral de Depositos,,Active,,NAME:*CAIXA\ GERAL\ DE\ DEPOSITOS*,
Caixa Penedes,Caixa Penedes,Caixa Penedes,,Acquired,,NAME:*CAIXA\ PENEDES*,
Caixa San Fernando,Caixa San Fernando,Caixa San Fernando,,Acquired,,NAME:*CAIXA\ SAN\ FERNANDO*,
Caixa d'Estalvis de Catalunya SA [Caixa Catalunya],Caixa d'Estalvis de Catalunya SA,Caixa d'Estalvis de Catalunya,,Acquired,,NAME:*CAIXA\ DESTALVIS\ DE\ CATALUNYA*,
Caixa de Ahorros de Vigo Ourense e Pontevedra,Caixa de Ahorros de Vigo Ourense e Pontevedra,Caixa de Ahorros de Vigo Ourense e Pontevedra,,Acquired,,NAME:*CAIXA\ DE\ AHORROS\ DE\ VIGO\ OURENSE\ E\ PONTEVEDRA*,
Caixa de Barcelona,Caixa de Barcelona,Caixa de Barcelona,,Acquired,,NAME:*CAIXA\ DE\ BARCELONA*,
Caixa de Terrassa,Caixa de Terrassa,Caixa de Terrassa,,Acquired,,NAME:*CAIXA\ DE\ TERRASSA*,
Caixabank,Caixabank,Caixabank,,Active,,NAME:*CAIXABANK*,
Caixanova,Caixanova,Caixanova,,Acquired,,NAME:*CAIXANOVA*,
Caja Castilla la Mancha [CCM],Caja Castilla la Mancha,Caja Castilla la Mancha,,Acquired,,NAME:*CAJA\ CASTILLA\ LA\ MANCHA*,
Caja Madrid [Caja de Ahorros y Monte de Piedad de Madrid SA],Caja de Ahorros y Monte de Piedad de Madrid SA,Caja de Ahorros y Monte de Piedad de Madrid,,Acquired,,NAME:*CAJA\ DE\ AHORROS\ Y\ MONTE\ DE\ PIEDAD\ DE\ MADRID*,
Caja Madrid [US],Caja Madrid,Caja Madrid,,Acquired,,NAME:*CAJA\ MADRID*,
Caja Rural Central,Caja Rural Central,Caja Rural Central,,Active,,NAME:*CAJA\ RURAL\ CENTRAL*,
Caja Rural de Burgos,Caja Rural de Burgos,Caja Rural de Burgos,,Active,,NAME:*CAJA\ RURAL\ DE\ BURGOS*,
Caja Rural de Granada SCC,Caja Rural de Granada SCC,Caja Rural de Granada,,Active,,NAME:*CAJA\ RURAL\ DE\ GRANADA*,
Caja Rural de Navarra,Caja Rural de Navarra,Caja Rural de Navarra,,Active,,NAME:*CAJA\ RURAL\ DE\ NAVARRA*,
Caja San Fernando,Caja San Fernando,Caja San Fernando,,Acquired,,NAME:*CAJA\ SAN\ FERNANDO*,
Caja de Ahorros y Monte de Piedad de Madrid SA,Caja de Ahorros y Monte de Piedad de Madrid SA,Caja de Ahorros y Monte de Piedad de Madrid,,Acquired,,NAME:*CAJA\ DE\ AHORROS\ Y\ MONTE\ DE\ PIEDAD\ DE\ MADRID*,
Caja de Ahorros de Vigo Ourense e Pontevedra,Caja de Ahorros de Vigo Ourense e Pontevedra,Caja de Ahorros de Vigo Ourense e Pontevedra,,Acquired,,NAME:*CAJA\ DE\ AHORROS\ DE\ VIGO\ OURENSE\ E\ PONTEVEDRA*,
Caja de Barcelona,Caja de Barcelona,Caja de Barcelona,,Acquired,,NAME:*CAJA\ DE\ BARCELONA*,
Caja de Terrassa,Caja de Terrassa,Caja de Terrassa,,Acquired,,NAME:*CAJA\ DE\ TERRASSA*,
Caja de Ahorros,Caja de Ahorros,Caja de Ahorros,,Acquired,,NAME:*CAJA\ DE\ AHORROS*,
Caja de Ahorros Municipal de Burgos,Caja de Ahorros Municipal de Burgos,Caja de Ahorros Municipal de Burgos,,Acquired,,NAME:*CAJA\ DE\ AHORROS\ MUNICIPAL\ DE\ BURGOS*,
Caja de Ahorros de Murcia,Caja de Ahorros de Murcia,Caja de Ahorros de Murcia,,Acquired,,NAME:*CAJA\ DE\ AHORROS\ DE\ MURCIA*,
Caja de Ahorros de Vitoria y Alava,Caja de Ahorros de Vitoria y Alava,Caja de Ahorros de Vitoria y Alava,,Acquired,,NAME:*CAJA\ DE\ AHORROS\ DE\ VITORIA\ Y\ ALAVA*,
Caja de Ahorros del Mediterraneo SA [CAM],Caja de Ahorros del Mediterraneo SA,Caja de Ahorros del Mediterraneo,,Acquired,,NAME:*CAJA\ DE\ AHORROS\ DEL\ MEDITERRANEO*,
Caja de Ahorros del Mediterraneo SA [US],Caja de Ahorros del Mediterraneo SA,Caja de Ahorros del Mediterraneo,,Acquired,,NAME:*CAJA\ DE\ AHORROS\ DEL\ MEDITERRANEO*,
Caja de Ahorros y Pensiones,Caja de Ahorros y Pensiones,Caja de Ahorros y Pensiones,,Acquired,,NAME:*CAJA\ DE\ AHORROS\ Y\ PENSIONES*,
Caja de Asturias,Caja de Asturias,Caja de Asturias,,Acquired,,NAME:*CAJA\ DE\ ASTURIAS*,
Commerce National Bank,Commerce National Bank,Commerce National Bank,,Active,,NAME:*COMMERCE\ NATIONAL\ BANK*,
CommerceOne Bank,CommerceOne Bank,CommerceOne Bank,,Active,,NAME:*COMMERCEONE\ BANK*,
Commercebank NA Florida,Commercebank NA,Commercebank,,Active,,NAME:*COMMERCEBANK*,
Commercial Bank,Commercial Bank,Commercial Bank,,Active,,NAME:*COMMERCIAL\ BANK*,
Commercial Bank (P.S.Q.C.),Commercial Bank,Commercial Bank,,Active,,NAME:*COMMERCIAL\ BANK*,
Commercial Bank of California,Commercial Bank of California,Commercial Bank of California,,Active,,NAME:*COMMERCIAL\ BANK\ OF\ CALIFORNIA*,
Commercial Bank of Grayson,Commercial Bank of Grayson,Commercial Bank of Grayson,,Active,,NAME:*COMMERCIAL\ BANK\ OF\ GRAYSON*,
Commercial Federal Bank,Commercial Federal Bank,Commercial Federal Bank,,Acquired,,NAME:*COMMERCIAL\ FEDERAL\ BANK*,
Commerzbank AG New York,Commerzbank AG,Commerzbank,,Active,,NAME:*COMMERZBANK*,
Commerzbank Aktiengesellschaft NY Branch,Commerzbank Aktiengesellschaft,Commerzbank,,Active,,NAME:*COMMERZBANK*,
Community & Southern Bank,Community & Southern Bank,Community Southern Bank,,Active,,NAME:*COMMUNITY\ SOUTHERN\ BANK*,
Community Bancorp Inc,Community Bancorp Inc,Community Bancorp,,Active,,NAME:*COMMUNITY\ BANCORP*,
Community Bank,Community Bank,Community Bank,,Active,,NAME:*COMMUNITY\ BANK*,
Community Bank & Trust Co,Community Bank & Trust Co,Community Bank Trust Co,,Active,,NAME:*COMMUNITY\ BANK\ TRUST\ CO*,
Community Bank of Colorado,Community Bank of Colorado,Community Bank of Colorado,,Active,,NAME:*COMMUNITY\ BANK\ OF\ COLORADO*,
Community Bank of Louisiana,Community Bank of Louisiana,Community Bank of Louisiana,,Active,,NAME:*COMMUNITY\ BANK\ OF\ LOUISIANA*,
Community Bank of Nevada,Community Bank of Nevada,Community Bank of Nevada,,Active,,NAME:*COMMUNITY\ BANK\ OF\ NEVADA*,
Community Bank of Santa Fe,Community Bank of Santa Fe,Community Bank of Santa Fe,,Active,,NAME:*COMMUNITY\ BANK\ OF\ SANTA\ FE*,
Community Bank of the Bay,Community Bank of the Bay,Community Bank of the Bay,,Active,,NAME:*COMMUNITY\ BANK\ OF\ THE\ BAY*,
Community Banks of Colorado,Community Banks of Colorado,Community Banks of Colorado,,Active,,NAME:*COMMUNITY\ BANKS\ OF\ COLORADO*,
Community First Bankshares,Community First Bankshares,Community First Bankshares,,Active,,NAME:*COMMUNITY\ FIRST\ BANKSHARES*,
Community First National Bank,Community First National Bank,Community First National Bank,,Active,,NAME:*COMMUNITY\ FIRST\ NATIONAL\ BANK*,
Community Investors Bancorp Inc,Community Investors Bancorp Inc,Community Investors Bancorp,,Active,,NAME:*COMMUNITY\ INVESTORS\ BANCORP*,
Community National Bank,Community National Bank,Community National Bank,,Active,,NAME:*COMMUNITY\ NATIONAL\ BANK*,
Community State Bank,Community State Bank,Community State Bank,,Active,,NAME:*COMMUNITY\ STATE\ BANK*,
Community Trust Bancorp Inc,Community Trust Bancorp Inc,Community Trust Bancorp,,Active,,NAME:*COMMUNITY\ TRUST\ BANCORP*,
Community Trust Bank,Community Trust Bank,Community Trust Bank,,Active,,NAME:*COMMUNITY\ TRUST\ BANK*,
CommunityBank of Texas,CommunityBank of Texas,CommunityBank of Texas,,Active,,NAME:*COMMUNITYBANK\ OF\ TEXAS*,
CommunityOne Bank NA,CommunityOne Bank NA,CommunityOne Bank,,Active,,NAME:*COMMUNITYONE\ BANK*,
Compass Bank,Compass Bank,Compass Bank,,Acquired,,NAME:*COMPASS\ BANK*,
Dime Saving Bank of New York,Dime Saving Bank of New York,Dime Saving Bank of New York,,Active,,NAME:*DIME\ SAVING\ BANK\ OF\ NEW\ YORK*,
Dogwood State Bank,Dogwood State Bank,Dogwood State Bank,,Active,,NAME:*DOGWOOD\ STATE\ BANK*,
Dollar Bank,Dollar Bank,Dollar Bank,,Active,,NAME:*DOLLAR\ BANK*,
Dollar Financial Group Inc,Dollar Financial Group Inc,Dollar Financial Group,,Active,,NAME:*DOLLAR\ FINANCIAL\ GROUP*,
Doral Bank FSB,Doral Bank FSB,Doral Bank FSB,,Acquired,,NAME:*DORAL\ BANK\ FSB*,
Dream Mutual Savings Bank,Dream Mutual Savings Bank,Dream Mutual Savings Bank,,Active,,NAME:*DREAM\ MUTUAL\ SAVINGS\ BANK*,
Elmira Savings Bank,Elmira Savings Bank,Elmira Savings Bank,,Active,,NAME:*ELMIRA\ SAVINGS\ BANK*,
Emigrant Bank,Emigrant Bank,Emigrant Bank,,Active,,NAME:*EMIGRANT\ BANK*,
Emigrant Savings Bank,Emigrant Savings Bank,Emigrant Savings Bank,,Active,,NAME:*EMIGRANT\ SAVINGS\ BANK*,
Emprise Bank NA,Emprise Bank NA,Emprise Bank,,Active,,NAME:*EMPRISE\ BANK*,
Encore Bank,Encore Bank,Encore Bank,,Active,,NAME:*ENCORE\ BANK*,
Enterprise Bancorp Inc,Enterprise Bancorp Inc,Enterprise Bancorp,,Active,,NAME:*ENTERPRISE\ BANCORP*,
Enterprise Bank & Trust Co,Enterprise Bank & Trust Co,Enterprise Bank & Trust Co,,Active,,NAME:*ENTERPRISE\ BANK\ TRUST\ CO*,
Enterprise Bank NA,Enterprise Bank NA,Enterprise Bank,,Active,,NAME:*ENTERPRISE\ BANK*,
Dubuque Bank & Trust Co,Dubuque Bank & Trust Co,Dubuque Bank & Trust Co,,Active,,NAME:*DUBUQUE\ BANK\ TRUST\ CO*,
E Sun Commercial Bank Los Angeles,E Sun Commercial Bank,E Sun Commercial Bank,,Active,,NAME:*E\ SUN\ COMMERCIAL\ BANK*,
E Sun Commercial Bank Ltd Los Angeles Branch,E Sun Commercial Bank Ltd,E Sun Commercial Bank,,Active,,NAME:*E\ SUN\ COMMERCIAL\ BANK*,
E Trade Bank,E Trade Bank,E Trade Bank,,Acquired,,NAME:*E\ TRADE\ BANK*,
Eagle Bancorp,Eagle Bancorp,Eagle Bancorp,,Active,,NAME:*EAGLE\ BANCORP*,
Eagle National Bank,Eagle National Bank,Eagle National Bank,,Active,,NAME:*EAGLE\ NATIONAL\ BANK*,
EagleBank,EagleBank,EagleBank,,Active,,NAME:*EAGLEBANK*,
East Boston Savings Bank,East Boston Savings Bank,East Boston Savings Bank,,Active,,NAME:*EAST\ BOSTON\ SAVINGS\ BANK*,
East West Bank,East West Bank,East West Bank,,Active,,NAME:*EAST\ WEST\ BANK*,
East-West Bank,East-West Bank,EastWest Bank,,Active,,NAME:*EASTWEST\ BANK*,
Eastern Bank,Eastern Bank,Eastern Bank,,Active,,NAME:*EASTERN\ BANK*,
Eastern Bank Ltd,Eastern Bank Ltd,Eastern Bank,,Active,,NAME:*EASTERN\ BANK*,
Eastman National Bank,Eastman National Bank,Eastman National Bank,,Active,,NAME:*EASTMAN\ NATIONAL\ BANK*,
Commerce Bank & Trust Co,Commerce Bank & Trust Co,Commerce Bank & Trust Co,,Active,,NAME:*COMMERCE\ BANK\ TRUST\ CO*,
Commerce Bank NA,Commerce Bank NA,Commerce Bank,,Active,,NAME:*COMMERCE\ BANK*,
Commerce Bank of Kansas City,Commerce Bank of Kansas City,Commerce Bank of Kansas City,,Active,,NAME:*COMMERCE\ BANK\ OF\ KANSAS\ CITY*,
First Bank of Tennessee,First Bank of Tennessee,First Bank of Tennessee,,Active,,NAME:*FIRST\ BANK\ OF\ TENNESSEE*,
First Bank of Vail,First Bank of Vail,First Bank of Vail,,Active,,NAME:*FIRST\ BANK\ OF\ VAIL*,
First Business Bank,First Business Bank,First Business Bank,,Active,,NAME:*FIRST\ BUSINESS\ BANK*,
First California Bank,First California Bank,First California Bank,,Acquired,,NAME:*FIRST\ CALIFORNIA\ BANK*,
First Charter Bank,First Charter Bank,First Charter Bank,,Acquired,,NAME:*FIRST\ CHARTER\ BANK*,
First Choice Bank,First Choice Bank,First Choice Bank,,Active,,NAME:*FIRST\ CHOICE\ BANK*,
First Citizens Bancshares Inc,First Citizens Bancshares Inc,First Citizens Bancshares,,Active,,NAME:*FIRST\ CITIZENS\ BANCSHARES*,
First Citizens Bank & Trust,First Citizens Bank & Trust,First Citizens Bank & Trust,,Active,,NAME:*FIRST\ CITIZENS\ BANK\ TRUST*,
First Citizens Bank Limited,First Citizens Bank Limited,First Citizens Bank,,Active,,NAME:*FIRST\ CITIZENS\ BANK*,
First Coast Community Bank,First Coast Community Bank,First Coast Community Bank,,Active,,NAME:*FIRST\ COAST\ COMMUNITY\ BANK*,
First Commercial Bank,First Commercial Bank,First Commercial Bank,,Active,,NAME:*FIRST\ COMMERCIAL\ BANK*,
First Commercial Bank Los Angeles,First Commercial Bank,First Commercial Bank,,Active,,NAME:*FIRST\ COMMERCIAL\ BANK*,
First Commercial Bank New York,First Commercial Bank,First Commercial Bank,,Active,,NAME:*FIRST\ COMMERCIAL\ BANK*,
First Commonwealth Bank,First Commonwealth Bank,First Commonwealth Bank,,Active,,NAME:*FIRST\ COMMONWEALTH\ BANK*,
First Commonwealth Financial Corp,First Commonwealth Financial Corp,First Commonwealth Financial,,Active,,NAME:*FIRST\ COMMONWEALTH\ FINANCIAL*,
First Community Bancorp,First Community Bancorp,First Community Bancorp,,Active,,NAME:*FIRST\ COMMUNITY\ BANCORP*,
First Community Bank of America,First Community Bank of America,First Community Bank of America,,Active,,NAME:*FIRST\ COMMUNITY\ BANK\ OF\ AMERICA*,
First Community Bank of Plainfield,First Community Bank of Plainfield,First Community Bank of Plainfield,,Active,,NAME:*FIRST\ COMMUNITY\ BANK\ OF\ PLAINFIELD*,
First Community Financial Corp,First Community Financial Corp,First Community Financial,,Active,,NAME:*FIRST\ COMMUNITY\ FINANCIAL*,
First Credit Bank,First Credit Bank,First Credit Bank,,Active,,NAME:*FIRST\ CREDIT\ BANK*,
First Dakota National Bank,First Dakota National Bank,First Dakota National Bank,,Active,,NAME:*FIRST\ DAKOTA\ NATIONAL\ BANK*,
First Eagle Bank,First Eagle Bank,First Eagle Bank,,Active,,NAME:*FIRST\ EAGLE\ BANK*,
First Eagle Holdings Inc,First Eagle Holdings Inc,First Eagle Holdings,,Active,,NAME:*FIRST\ EAGLE\ HOLDINGS*,
First Farm Credit,First Farm Credit,First Farm Credit,,Active,,NAME:*FIRST\ FARM\ CREDIT*,
First Farmers Bank & Trust,First Farmers Bank & Trust,First Farmers Bank & Trust,,Active,,NAME:*FIRST\ FARMERS\ BANK\ TRUST*,
First Federal Bank,First Federal Bank,First Federal Bank,,Active,,NAME:*FIRST\ FEDERAL\ BANK*,
First Federal Savings and Loan Association of Charleston,First Federal Savings and Loan Association of Charleston,First Federal Savings and Loan Association of Charleston,,Acquired,,NAME:*FIRST\ FEDERAL\ SAVINGS\ AND\ LOAN\ ASSOCIATION\ OF\ CHARLESTON*,
First Fidelity Bank NA,First Fidelity Bank NA,First Fidelity Bank,,Acquired,,NAME:*FIRST\ FIDELITY\ BANK*,
First Financial Bank,First Financial Bank,First Financial Bank,,Active,,NAME:*FIRST\ FINANCIAL\ BANK*,
First Florida Bank,First Florida Bank,First Florida Bank,,Acquired,,NAME:*FIRST\ FLORIDA\ BANK*,
Compeer Financial,Compeer Financial,Compeer Financial,,Active,,NAME:*COMPEER\ FINANCIAL*,
Dacotah Bank,Dacotah Bank,Dacotah Bank,,Active,,NAME:*DACOTAH\ BANK*,
Dallas Capital Bank NA,Dallas Capital Bank National Association,Dallas Capital Bank,,Active,,NAME:*DALLAS\ CAPITAL\ BANK*,
Dallas Capital Bank National Association,Dallas Capital Bank National Association,Dallas Capital Bank,,Active,,NAME:*DALLAS\ CAPITAL\ BANK*,
Dart Bank,Dart Bank,Dart Bank,,Active,,NAME:*DART\ BANK*,
Delaware Place Bank,Delaware Place Bank,Delaware Place Bank,,Active,,NAME:*DELAWARE\ PLACE\ BANK*,
Denali State Bank,Denali State Bank,Denali State Bank,,Active,,NAME:*DENALI\ STATE\ BANK*,
Denmark Bancshares Inc,Denmark Bancshares Inc,Denmark Bancshares,,Active,,NAME:*DENMARK\ BANCSHARES*,
Desert Community Bank,Desert Community Bank,Desert Community Bank,,Active,,NAME:*DESERT\ COMMUNITY\ BANK*,
Enterprise National Bank,Enterprise National Bank,Enterprise Bank,,Active,,NAME:*ENTERPRISE\ BANK*,
Ephrata National Bank,Ephrata National Bank,Ephrata Bank,,Active,,NAME:*EPHRATA\ BANK*,
Equitable Bank,Equitable Bank,Equitable Bank,,Active,,NAME:*EQUITABLE\ BANK*,
