original,status,successor,search_query,notes,Found,Match_Count,Match1_Name,Match1_CERT,Match1_RSSD,Match1_Status,Match1_Asset,Match1_State,Match1_Address,Match1_City,Match1_Zip,Match1_SimScore,Match2_Name,Match2_CERT,Match2_RSSD,Match2_Status,Match2_Asset,Match2_State,Match2_Address,Match2_City,Match2_Zip,Match2_SimScore
Everbank,Acquired,TIAA Bank,(Everbank* OR TIAA*Bank*),"Input 'Everbank NA' cleaned (removed NA). Acquired 2017, rebranded to TIAA Bank.",True,1,"EverBank, National Association",34775,2735146,Active,44814438.0,FL,301 W Bay St,Jacksonville,32202,0.47,,,,,,,,,,
First Community Bank,Active,First Community Bank,First*Community*Bank*,Input 'FCBank' expanded to 'First Community Bank'. Active.,True,10,First Community Bank,11225,742542,Active,155943.0,WI,202 Merchant Row,Milton,53563,1.00,First State Community Bank,17323,707354,Active,4305877.0,MO,201 E Columbia St,Farmington,63640,0.85
First National Bank,Active,First National Bank,First*National*Bank*,Input 'FNB' expanded to 'First National Bank'. Active.,True,10,First Texoma National Bank,13905,388155,Active,221777.0,OK,220 W Main St,Durant,74701,0.82,First International Bank & Trust,10248,236153,Active,5680943.0,ND,100 N Main St,Watford City,58854,0.68
FVCBank,Active,FVCBank,FVC*Bank*,Input 'FVCBank' is active regional bank.,True,1,FVCbank,58696,3614976,Active,2314550.0,VA,11325 Random Hills Rd,Fairfax,22030,1.00,,,,,,,,,,
Farm Credit Bank of Texas,Active,Farm Credit Bank of Texas,Farm*Credit*Bank*of*Texas*,"Input 'Farm Credit Bank of Texas' active, part of Farm Credit System.",False,0,,,,,,,,,,,,,,,,,,,,
Farm Credit East,Active,Farm Credit East,Farm*Credit*East*,"Input 'Farm Credit East' active, part of Farm Credit System.",False,0,,,,,,,,,,,,,,,,,,,,
Farm Credit East,Active,Farm Credit East,Farm*Credit*East*,"Input 'Farm Credit East ACA' cleaned (removed ACA). Active, part of Farm Credit System.",False,0,,,,,,,,,,,,,,,,,,,,
First Independent Bank,Active,First Independent Bank,First*Independent*Bank*,"Input 'First Independent Bank' correct, active regional bank.",True,2,First Independent Bank,18380,366658,Active,140442.0,MO,1100 S Elliott Ave,Aurora,65605,1.00,First Independent Bank,1900,761851,Active,575207.0,MN,300 Front St,Russell,56169,1.00
First Merchant Bank,Active,First Merchant Bank,First*Merchant*Bank*,"Input 'First Merchant Bank' correct, active regional entity.",True,7,First Merchants Bank,4365,17147,Active,18798822.0,IN,200 E Jackson St,Muncie,47305,0.97,First Farmers and Merchants Bank,1487,150035,Active,1743281.0,TN,816 S Garden St,Columbia,38401,0.75
First Merchants Bank,Active,First Merchants Bank,First*Merchants*Bank*,"Input 'First Merchants Bank NA' cleaned (removed NA), active regional bank.",True,7,First Merchants Bank,4365,17147,Active,18798822.0,IN,200 E Jackson St,Muncie,47305,1.00,First Farmers and Merchants Bank,1487,150035,Active,1743281.0,TN,816 S Garden St,Columbia,38401,0.77
First Mid Bank & Trust,Active,First Mid Bank & Trust,First*Mid*Bank*&*Trust*,"Input 'First Mid Bank & Trust' correct, active Midwest bank.",True,1,"First Mid Bank & Trust, National Association",3705,762447,Active,7768551.0,IL,1515 Charleston Ave,Mattoon,61938,0.70,,,,,,,,,,
First Midwest Bank,Acquired,Old National Bank,(First*Midwest*Bank* OR Old*National*Bank*),"Input 'First Midwest' expanded to First Midwest Bank, acquired by Old National Bancorp (2022).",True,5,First Midwest Bank of the Ozarks,19212,228158,Active,737702.0,MO,704 N Westwood Blvd,Poplar Bluff,63901,0.80,Old National Bank,3832,208244,Active,70996954.0,IN,1 Main St,Evansville,47708,0.38
First Midwest Bancorp,Acquired,Old National Bancorp,(First*Midwest*Bancorp* OR Old*National*Bancorp*),Input 'First Midwest Bancorp' (parent) acquired by Old National Bancorp (2022).,False,0,,,,,,,,,,,,,,,,,,,,
First Midwest Bank,Acquired,Old National Bank,(First*Midwest*Bank* OR Old*National*Bank*),"First Midwest Bank acquired by Old National Bancorp (2022), successor Old National Bank.",True,5,First Midwest Bank of the Ozarks,19212,228158,Active,737702.0,MO,704 N Westwood Blvd,Poplar Bluff,63901,0.80,Old National Bank,3832,208244,Active,70996954.0,IN,1 Main St,Evansville,47708,0.38
First National Bank,Active,First National Bank,First*National*Bank*,Input 'First National Bank' (generic) active (multiple regional branches).,True,10,First Texoma National Bank,13905,388155,Active,221777.0,OK,220 W Main St,Durant,74701,0.82,First International Bank & Trust,10248,236153,Active,5680943.0,ND,100 N Main St,Watford City,58854,0.68
First National Bank & Trust,Active,First National Bank & Trust,First*National*Bank*&*Trust*,"Input 'First National Bank & Trust' correct, active regional entity.",True,4,First National Bank & Trust Company,3639,32234,Active,405865.0,IL,2 Kelli Ct,Clinton,61727,1.00,First International Bank & Trust,10248,236153,Active,5680943.0,ND,100 N Main St,Watford City,58854,0.85
First National Bank of Omaha,Active,First National Bank of Omaha,First*National*Bank*of*Omaha*,"Input 'First National Bank of Omaha' correct, active major regional bank.",True,1,First National Bank of Omaha,5452,527954,Active,32340615.0,NE,1601 Capitol Avenue,Omaha,68102,1.00,,,,,,,,,,
First National Bank of Pennsylvania,Active,First National Bank of Pennsylvania,First*National*Bank*of*Pennsylvania*,"Input 'First National Bank of Pennsylvania' correct, active F.N.B. subsidiary.",True,1,First National Bank of Pennsylvania,7888,379920,Active,49665430.0,PA,166 Main St,Greenville,16125,1.00,,,,,,,,,,
First Security Bancorp,Acquired,Zions Bancorporation,(First*Security*Bancorp* OR Zions*Bancorporation*),First Security Bancorp acquired by Zions Bancorporation (2001).,True,1,"Zions Bancorporation, N.A.",2270,276579,Active,88533079.0,UT,1 S Main St,Salt Lake City,84133,0.48,,,,,,,,,,
First Security Bank,Active,First Security Bank,First*Security*Bank*,"Input 'First Security Bank NA' cleaned (removed NA), active Zions subsidiary.",True,10,First Security Bank,1622,322551,Active,59195.0,MO,108 N 4th St,Union Star,64494,1.00,First Security Bank,17120,718145,Active,954043.0,MS,295 Highway 6 W,Batesville,38606,1.00
First Source Bank,Active,First Source Bank,First*Source*Bank*,"Input 'First Source Bank' correct, active Indiana regional bank.",True,2,First Resource Bank,57967,3349241,Active,724857.0,PA,800 N Pottstown Pike,Exton,19341,0.94,First Resource Bank,58039,3314043,Active,765728.0,MN,7449 Village Dr,Lino Lakes,55014,0.94
First South Farm Credit ACA,Active,First South Farm Credit ACA,First*South*Farm*Credit*ACA*,"Input 'First South Farm Credit ACA' correct, active agricultural credit institution.",False,0,,,,,,,,,,,,,,,,,,,,
First Tennessee Bank,Acquired,First Horizon Bank,(First*Tennessee*Bank* OR First*Horizon*Bank*),"First Tennessee Bank rebranded to First Horizon Bank (2020), successor First Horizon Bank.",True,11,First Tennessee Bank,1482,91138,Inactive,216632.0,TN,101 West Broadway,Maryville,37801,1.00,First Horizon Bank,4977,485559,Active,82886598.0,TN,165 Madison Ave,Memphis,38103,0.63
First US Bank,Active,First US Bank,First*US*Bank*,"Input 'First US Bank' correct, active regional bank.",True,6,First US Bank,17077,259330,Active,1147104.0,AL,3291 Highway 280 E,Birmingham,35243,1.00,Firstrust Savings Bank,26647,932978,Active,5818081.0,PA,15 E Ridge Pike,Conshohocken,19428,0.69
First Womens Bank,Active,First Womens Bank,First*Womens*Bank*,"Input 'First Womens Bank' correct, active New Jersey regional bank.",False,0,,,,,,,,,,,,,,,,,,,,
FirstBank Florida,Active,FirstBank Florida,First*Bank*Florida*,"Input 'FirstBank Florida' correct, active FirstBank (PR) subsidiary.",True,2,First Colony Bank of Florida,58644,3688548,Active,295099.0,FL,711 N Orlando Ave,Maitland,32751,0.81,First State Bank of the Florida Keys,17509,191935,Active,1163790.0,FL,1201 Simonton St,Key West,33040,0.71
Firstbank Southwest,Active,Firstbank Southwest,Firstbank*Southwest*,"Input 'Firstbank Southwest' correct, active Texas regional bank.",True,2,FirstBank Southwest,3387,840363,Active,1859619.0,TX,2401 S Georgia St,Amarillo,79109,1.00,FirstBank Southwest,17473,357759,Inactive,115307.0,TX,2201 Civic Circle,Amarillo,79109,1.00
Five Star Bank,Active,Five Star Bank,Five*Star*Bank*,"Input correct, active regional bank.",True,2,Five Star Bank,35361,2867337,Active,4639784.0,CA,2240 Douglas Blvd,Roseville,95661,1.00,Five Star Bank,659,601416,Active,6250000.0,NY,55 N Main St,Warsaw,14569,1.00
Flagstar Bancorp,Acquired,New York Community Bancorp,(Flagstar*Bancorp* OR New*York*Community*Bancorp*),"Input correct, acquired 2022 by NYCB.",False,0,,,,,,,,,,,,,,,,,,,,
Flagstar Bank,Acquired,New York Community Bancorp,(Flagstar*Bank* OR New*York*Community*Bancorp*),"Input correct, acquired 2022 by NYCB.",True,1,"Flagstar Bank, National Association",32541,694904,Active,91593478.0,NY,102 Duffy Ave,Hicksville,11801,0.59,,,,,,,,,,
Flushing Bank,Active,Flushing Bank,Flushing*Bank*,"Input correct, active community bank.",True,2,Flushing Bank,58564,959304,Active,8872087.0,NY,260e Rxr Plz,Uniondale,11556,1.00,"Flushing Savings Bank, FSB",16049,959304,Inactive,4452428.0,NY,144-51 Northern Boulevard,Flushing,11354,0.68
Forbright Bank,Active,Forbright Bank,Forbright*Bank*,"Input includes fka Congressional Bank; current name Forbright Bank, active.",True,1,Forbright Bank,57614,3187630,Active,7692595.0,MD,7963 Tuckerman Ln,Potomac,20854,1.00,,,,,,,,,,
Freedom Bank,Active,Freedom Bank,Freedom*Bank*,"Input correct, active regional bank.",True,8,"Freedom Bank, Inc.",15664,629522,Active,207443.0,WV,20 N Crim Ave,Belington,26250,1.00,Freedom Bank,58712,3729124,Active,814048.0,NJ,99 W Essex St,Maywood,07607,1.00
Frost Bank,Active,Frost Bank,Frost*Bank*,"Input correct, active regional bank.",True,2,Frost  Bank,5510,682563,Active,52598588.0,TX,111 W Houston St,San Antonio,78205,0.95,Frost State Bank,26519,943853,Active,53845.0,MN,205 Main St,Frost,56033,0.77
Frost National Bank,Active,Frost National Bank,Frost*National*Bank*,"Input correct, active national bank subsidiary.",True,1,Frostburg National Bank,13834,957627,Inactive,44584.0,MD,2 West Main Street,Frostburg,21532,0.89,,,,,,,,,,
Fulton Bank,Active,Fulton Bank,Fulton*Bank*,"Input correct, active regional bank.",True,2,Fulton Savings Bank,15966,900502,Active,477604.0,NY,75 S 1st St,Fulton,13069,0.73,"Fulton Bank, National Association",7551,474919,Active,31842186.0,PA,1 Penn Sq,Lancaster,17602,0.55
GBC Bancorp,Acquired,Associated Banc-Corp,(GBC*Bancorp* OR Associated*Banc*Corp*),"Input correct, acquired by Associated Banc-Corp.",False,0,,,,,,,,,,,,,,,,,,,,
Georgia Banking Co,Active,Georgia Banking Co,Georgia*Banking*Co*,"Input correct, active community bank.",True,1,Georgia Banking Company,57071,3016347,Active,2723145.0,GA,1776 Peachtree St Nw,Atlanta,30309,1.00,,,,,,,,,,
Goldman Sachs Bank USA,Active,Goldman Sachs Bank USA,Goldman*Sachs*Bank*USA*,"Input correct, active investment bank subsidiary.",True,2,Goldman Sachs Bank USA,33124,2182786,Active,644020000.0,NY,200 West St,New York,10282,1.00,Goldman Sachs Bank USA,57485,3278305,Inactive,21630286.0,UT,"295 Chipeta Way, 4th Floor",Salt Lake City,84108,1.00
Goldman Sachs Group,Active,Goldman Sachs Group,Goldman*Sachs*Group*,"Input 'Goldman Sachs Group Inc' cleaned (removed Inc.), active holding company.",True,2,Goldman Sachs Bank USA,33124,2182786,Active,644020000.0,NY,200 West St,New York,10282,0.73,Goldman Sachs Bank USA,57485,3278305,Inactive,21630286.0,UT,"295 Chipeta Way, 4th Floor",Salt Lake City,84108,0.73
Great Southern Bank,Active,Great Southern Bank,Great*Southern*Bank*,"Input correct, active regional bank.",True,2,Great Southern Bank,29546,572374,Active,5740564.0,MO,14309 State Highway 13,Reeds Spring,65737,1.00,Great Southern Bank,8552,101738,Active,330371.0,MS,218 22nd Ave S,Meridian,39301,1.00
Green Bank,Active,Green Bank,Green*Bank*,"Input correct, active regional bank.",True,10,GreenWay Bank,29495,380878,Active,399400.0,OH,976 S Shannon St,Van Wert,45891,0.87,Green Dot Bank DBA Bonneville Bank,22653,243375,Active,4996228.0,UT,1675 N 200 W,Provo,84604,0.45
Greenstone Farm Credit Services,Active,Greenstone Farm Credit Services,Greenstone*Farm*Credit*Services*,"Input correct, active farm credit institution.",False,0,,,,,,,,,,,,,,,,,,,,
Greenstone Farm Credit Services ACA/FLCA,Active,Greenstone Farm Credit Services ACA/FLCA,Greenstone*Farm*Credit*Services*ACA*FLCA*,"Input correct, active farm credit subsidiary.",False,0,,,,,,,,,,,,,,,,,,,,
Greenstone Farm Credit Services FLCA,Active,Greenstone Farm Credit Services FLCA,Greenstone*Farm*Credit*Services*FLCA*,"Input correct, active farm credit subsidiary.",False,0,,,,,,,,,,,,,,,,,,,,
Gulf Capital Bank,Active,Gulf Capital Bank,Gulf*Capital*Bank*,"Input correct, active community bank.",True,1,Gulf Capital Bank,59185,5382514,Active,581148.0,TX,1 Riverway,Houston,77056,1.00,,,,,,,,,,
HSBC Bank USA,Active,HSBC Bank USA,HSBC*Bank*USA*,"Input 'HSBC Bank USA NA' cleaned (removed NA), active national bank.",True,3,HSBC Bank USA,589,413208,Inactive,110305393.0,NY,One Hsbc Center,Buffalo,14203,1.00,"HSBC Bank USA, National Association",57890,413208,Active,162239855.0,VA,1800 Tysons Blvd,Tysons,22102,0.59
New York Community Bank Specialty Finance Company,Active,New York Community Bank Specialty Finance Company,New*York*Community*Bank*Specialty*Finance*Company*,"Input expanded NYCB to 'New York Community Bank', removed LLC suffix. Active.",False,0,,,,,,,,,,,,,,,,,,,,
NatWest Bank,Active,NatWest Bank,NatWest*Bank*,Input removed NA suffix. Active US subsidiary of NatWest Group.,False,0,,,,,,,,,,,,,,,,,,,,
National Bank of Arizona,Active,National Bank of Arizona,National*Bank*of*Arizona*,Input active (Zions Bancorporation subsidiary).,True,3,National Bank of Arizona,20626,1004368,Inactive,5018724.0,AZ,335 North Wilmot Road,Tucson,85711,1.00,National Bank of Arizona,25830,1004368,Inactive,435558.0,AZ,335 North Wilmont Road,Tucson,85711,1.00
National Bank of Indianapolis,Active,National Bank of Indianapolis,National*Bank*of*Indianapolis*,Input active Indiana community bank.,True,1,The National Bank of Indianapolis,33860,2132941,Active,2952343.0,IN,107 N Pennsylvania St,Indianapolis,46204,0.92,,,,,,,,,,
National Exchange Bank & Trust,Active,National Exchange Bank & Trust,National*Exchange*Bank*&*Trust*,Input active Wisconsin community bank.,True,1,National Exchange Bank and Trust,10044,722544,Active,2919051.0,WI,130 S Main St,Fond Du Lac,54935,0.95,,,,,,,,,,
Nationwide Bank,Active,Nationwide Bank,Nationwide*Bank*,Input active subsidiary of Nationwide Mutual Insurance.,True,3,"First Nationwide Bank, FSB",32643,1387753,Inactive,16490888.0,TX,"14651 Dallas Parkway, Suite 200",Dallas,75240,0.70,"First Nationwide Bank, A FSB",29640,400178,Inactive,14926832.0,CA,135 Main Street,San Francisco,94105,0.67
Needham Bank,Active,Needham Bank,Needham*Bank*,Input active Massachusetts community bank.,True,1,Needham Bank,26483,339773,Active,5358176.0,MA,1063 Great Plain Ave,Needham,02492,1.00,,,,,,,,,,
Nevada State Bank,Active,Nevada State Bank,Nevada*State*Bank*,Input active (Zions Bancorporation subsidiary).,True,1,Nevada State Bank,18113,456960,Inactive,4340636.0,NV,750 East Warm Springs Road,Las Vegas,89119,1.00,,,,,,,,,,
New York Community Bank,Active,New York Community Bank,New*York*Community*Bank*,Input active major regional bank.,True,1,New York Community Bank,16022,694904,Inactive,62909410.0,NY,102 Duffy Ave,Hicksville,11801,1.00,,,,,,,,,,
New York Green Bank,Active,New York Green Bank,New*York*Green*Bank*,Input active public-private green energy bank.,False,0,,,,,,,,,,,,,,,,,,,,
Nicolet National Bank,Active,Nicolet National Bank,Nicolet*National*Bank*,Input active Wisconsin community bank.,True,1,Nicolet National Bank,57038,2941068,Active,9015325.0,WI,111 North Washington Street,Green Bay,54301,1.00,,,,,,,,,,
Northbrook Bank & Trust,Active,Northbrook Bank & Trust,Northbrook*Bank*&*Trust*,Input removed Co suffix. Active Wintrust Financial subsidiary.,True,1,"Northbrook Bank and Trust Company, National Association",57082,2938198,Active,5678884.0,IL,1100 Waukegan Rd,Northbrook,60062,0.68,,,,,,,,,,
Northern Trust,Active,Northern Trust,Northern*Trust*,Input active global financial services firm.,True,10,Northern Bank & Trust Company,18266,900306,Active,3229640.0,MA,275 Mishawum Rd,Woburn,01801,0.82,"Northern Trust, National Association",24185,665931,Inactive,16103864.0,FL,700 Brickell Avenue,Miami,33131,0.61
Northern Trust,Active,Northern Trust,Northern*Trust*,"Input removed Co suffix, matches 'Northern Trust'. Active.",True,10,Northern Bank & Trust Company,18266,900306,Active,3229640.0,MA,275 Mishawum Rd,Woburn,01801,0.82,"Northern Trust, National Association",24185,665931,Inactive,16103864.0,FL,700 Brickell Avenue,Miami,33131,0.61
Northern Trust,Active,Northern Trust,Northern*Trust*,"Input removed Corp suffix, matches 'Northern Trust'. Active.",True,10,Northern Bank & Trust Company,18266,900306,Active,3229640.0,MA,275 Mishawum Rd,Woburn,01801,0.82,"Northern Trust, National Association",24185,665931,Inactive,16103864.0,FL,700 Brickell Avenue,Miami,33131,0.61
Northrim Bank,Active,Northrim Bank,Northrim*Bank*,Input active Alaska-based regional bank.,True,1,Northrim Bank,33216,1718188,Active,3289121.0,AK,3111 C St,Anchorage,99503,1.00,,,,,,,,,,
Northwest Bank & Trust,Active,Northwest Bank & Trust,Northwest*Bank*&*Trust*,Input removed Co suffix. Active Northwest Bancshares subsidiary.,True,2,Northwest Bank & Trust Company,15830,901741,Inactive,237447.0,IA,100 E Kimberly Rd,Davenport,52806,1.00,Northwest Bank & Trust,57658,3250114,Inactive,160763.0,GA,3891 Cobb Parkway,Acworth,30101,1.00
Northwest Farm Credit Services FLCA,Active,Northwest Farm Credit Services FLCA,Northwest*Farm*Credit*Services*FLCA*,Input active Farm Credit System entity (FLCA = Federal Land Credit Association).,False,0,,,,,,,,,,,,,,,,,,,,
Northwest Farm Credit Services PCA,Active,Northwest Farm Credit Services PCA,Northwest*Farm*Credit*Services*PCA*,Input active Farm Credit System entity (PCA = Production Credit Association).,False,0,,,,,,,,,,,,,,,,,,,,
Northwest Savings Bank,Active,Northwest Savings Bank,Northwest*Savings*Bank*,Input active Northwest Bancshares subsidiary.,True,3,Northwest Savings Bank,29754,122171,Inactive,97262.0,WI,234 Keller Avenue,Amery,54001,1.00,Northwestern Savings Bank,27911,682077,Inactive,1134937.0,IL,2300 N Western Ave,Chicago,60647,0.94
Mega Bank,Active,Mega Bank,Mega*Bank*,Input 'Mega Bank' cleaned (no legal suffixes). Active US bank.,True,5,Mega Bank,58401,3690635,Active,509629.0,CA,245 W Valley Blvd,San Gabriel,91776,1.00,Mega Bank,25758,232436,Inactive,151824.0,FL,11400 North Kendall Drive,Miami,33176,1.00
Mellon Bank,Acquired,Bank of New York Mellon,(Mellon*Bank* OR Bank*of*New*York*Mellon*),Input 'Mellon Bank' cleaned. Acquired by Bank of New York Mellon.,True,10,"Mellon Bank, F.S.B.",20719,825904,Inactive,1658.0,PA,"Two Mellon Bank Center, Suite 375",Pittsburgh,15259,0.85,"Mellon Bank (East) PSFS, National Association",716,889018,Inactive,9562772.0,PA,Mellon Bank Center,Philadelphia,19102,0.44
Merchants Bank,Active,Merchants Bank,Merchants*Bank*,Input 'Merchants Bank NA' cleaned (removed NA). Active.,True,10,Merchants Bank,8943,700458,Active,248786.0,ND,210 S Main Ave,Rugby,58368,1.00,Merchants Bank of Indiana,8056,963945,Active,19296676.0,IN,410 Monon Blvd,Carmel,46032,0.72
Merchants Bank of Indiana,Active,Merchants Bank of Indiana,Merchants*Bank*of*Indiana*,Input 'Merchants Bank of Indiana' cleaned. Active.,True,1,Merchants Bank of Indiana,8056,963945,Active,19296676.0,IN,410 Monon Blvd,Carmel,46032,1.00,,,,,,,,,,
Meridian Bank,Active,Meridian Bank,Meridian*Bank*,Input 'Meridian Bank' cleaned. Active.,True,8,Meridian Bank,57777,3271799,Active,2541395.0,PA,220 W. Lancaster Avenue,Wayne,19087,1.00,Meridian Bank,11870,102016,Inactive,11608948.0,PA,35-43 North Sixth Street,Reading,19603,1.00
Metlife Bank,Acquired,First Citizens Bank,(Metlife*Bank* OR First*Citizens*Bank*),Input 'Metlife Bank NA' cleaned (removed NA). Acquired by First Citizens (via CIT Group).,True,7,First-Citizens Bank & Trust Company,11063,491224,Active,233167000.0,NC,239 Fayetteville St,Raleigh,27601,0.32,First Citizens Community Bank,7593,978118,Active,3051688.0,PA,15 S Main St,Mansfield,16933,0.37
Metropolitan Commercial Bank,Active,Metropolitan Commercial Bank,Metropolitan*Commercial*Bank*,Input 'Metropolitan Commercial Bank' cleaned. Active.,True,1,Metropolitan Commercial Bank,34699,2705895,Active,8233294.0,NY,99 Park Ave,New York,10016,1.00,,,,,,,,,,
MidCountry Bank,Active,MidCountry Bank,MidCountry*Bank*,Input 'MidCountry Bank' cleaned. Active.,True,2,MidCountry Bank,28865,3971,Active,1046748.0,MN,7825 Washington Ave S,Minneapolis,55439,1.00,MidCountry Bank,34574,2607346,Inactive,226307.0,MN,14617 Highway 7,Minnetonka,55345,1.00
MidWestOne Bank,Active,MidWestOne Bank,MidWestOne*Bank*,Input 'MidWestOne Bank' cleaned. Active.,True,3,MidWestOne Bank,14843,836843,Active,6241699.0,IA,102 S Clinton St,Iowa City,52240,1.00,MidWestOne Bank,14197,66846,Inactive,789190.0,IA,124 South 1st Street,Oskaloosa,52577,1.00
Middlesex Savings Bank,Active,Middlesex Savings Bank,Middlesex*Savings*Bank*,Input 'Middlesex Savings Bank' cleaned. Active.,True,1,Middlesex Savings Bank,90183,888002,Active,6113775.0,MA,6 Main St,Natick,01760,1.00,,,,,,,,,,
Midfirst Bank,Active,Midfirst Bank,Midfirst*Bank*,Input 'Midfirst Bank' cleaned. Active.,True,3,MidFirst Bank,4063,595270,Active,41161881.0,OK,501 Nw Grand Blvd,Oklahoma City,73118,1.00,MidFirst Bank,17097,505055,Inactive,2797439.0,OK,2225 North May Avenue,Oklahoma City,73107,1.00
Midland States Bank,Active,Midland States Bank,Midland*States*Bank*,Input 'Midland States Bank' cleaned. Active.,True,1,Midland States Bank,1040,773247,Active,6902904.0,IL,1201 Network Centre Dr,Effingham,62401,1.00,,,,,,,,,,
Midwest Bank,Active,Midwest Bank,Midwest*Bank*,Input 'Midwest Bank' cleaned. Active.,True,9,Midwest Bank,13255,669555,Active,1247976.0,NE,114 W Main St,Pierce,68767,1.00,MidWestOne Bank,14843,836843,Active,6241699.0,IA,102 S Clinton St,Iowa City,52240,0.89
Mission Bank,Active,Mission Bank,Mission*Bank*,Input 'Mission Bank' cleaned. Active.,True,4,Mission Bank,34805,2736714,Active,1950191.0,CA,1301 17th St,Bakersfield,93301,1.00,Mission Valley Bank,57101,3039636,Active,714610.0,CA,9116 Sunland Blvd,Sun Valley,91352,0.77
Modern Bank,Active,Modern Bank,Modern*Bank*,Input 'Modern Bank' cleaned. Active.,True,1,"Modern Bank, National Association",22398,2398701,Active,659973.0,NY,410 Park Ave,New York,10022,0.55,,,,,,,,,,
Montgomery Bank,Active,Montgomery Bank,Montgomery*Bank*,Input 'Montgomery Bank' cleaned. Active.,True,5,Montgomery Bank,8255,613558,Active,1206726.0,MO,1 Montgomery Bank Plaza St,Sikeston,63801,1.00,Montgomery Bank & Trust,19498,982731,Inactive,153208.0,GA,Lee And Gum Streets,Ailey,30410,0.81
Morgan Stanley Bank,Active,Morgan Stanley Bank,Morgan*Stanley*Bank*,Input 'Morgan Stanley Bank' cleaned. Active.,True,2,"Morgan Stanley Bank, National Association",32992,1456501,Active,249681000.0,UT,201 S Main St Fl 5,Salt Lake City,84111,0.68,"Morgan Stanley Private Bank, National Association",34221,2489805,Active,240201000.0,NY,2000 Westchester Ave,Purchase,10577,0.59
Morgan Stanley Bank,Active,Morgan Stanley Bank,Morgan*Stanley*Bank*,Input 'Morgan Stanley Bank NA' cleaned (removed NA). Active.,True,2,"Morgan Stanley Bank, National Association",32992,1456501,Active,249681000.0,UT,201 S Main St Fl 5,Salt Lake City,84111,0.68,"Morgan Stanley Private Bank, National Association",34221,2489805,Active,240201000.0,NY,2000 Westchester Ave,Purchase,10577,0.59
Morton Community Bank,Active,Morton Community Bank,Morton*Community*Bank*,Input 'Morton Community Bank' cleaned. Active.,True,1,Morton Community Bank,18429,825146,Active,5385100.0,IL,721 W Jackson St,Morton,61550,1.00,,,,,,,,,,
NBH Bank,Active,NBH Bank,NBH*Bank*,Input 'NBH Bank NA' cleaned (removed NA). Active.,True,1,NBH Bank,59052,4210227,Active,10106680.0,CO,7800 E Orchard Rd,Greenwood Village,80111,1.00,,,,,,,,,,
Peoples Bank,Active,Peoples Bank,Peoples*Bank*,"Input 'Peoples Bank' clean, active.",True,10,Peoples Bank Co.,12226,941541,Active,128587.0,MO,8537 Main St,Altenburg,63732,1.00,Peoples State Bank,12814,262844,Active,934635.0,WI,301 E Blackhawk Ave,Prairie Du Chien,53821,0.80
Peoples Bank,Active,Peoples Bank,Peoples*Bank*,"Input 'Peoples Bank NA' cleaned (removed NA), active.",True,10,Peoples Bank Co.,12226,941541,Active,128587.0,MO,8537 Main St,Altenburg,63732,1.00,Peoples State Bank,12814,262844,Active,934635.0,WI,301 E Blackhawk Ave,Prairie Du Chien,53821,0.80
Pinnacle Bank,Active,Pinnacle Bank,Pinnacle*Bank*,"Input 'Pinnacle Bank' clean, active.",True,9,Pinnacle Bank,10634,913856,Active,8566872.0,NE,1401 N St,Lincoln,68508,1.00,Pinnacle Bank,35583,2925666,Active,55867973.0,TN,21 Platform Way S,Nashville,37203,1.00
Pinnacle Financial Partners,Active,Pinnacle Financial Partners,Pinnacle*Financial*Partners*,"Input 'Pinnacle Financial Partners Inc' cleaned (removed Inc), active parent company.",False,0,,,,,,,,,,,,,,,,,,,,
Pinnacle National Bank,Active,Pinnacle National Bank,Pinnacle*National*Bank*,"Input 'Pinnacle National Bank' clean, active.",True,6,"Pinnacle Bank, National Association",14245,523750,Inactive,117725.0,NE,201 East A Street,Ogallala,69153,0.68,"Pinnacle Bank, National Association",4609,603951,Inactive,97722.0,KS,401 North Spruce Street,Abilene,67410,0.68
Popular Bank,Active,Popular Bank,Popular*Bank*,"Input 'Popular Bank' clean, active.",True,1,Popular Bank,34967,2736291,Active,14939674.0,NY,85 Broad St,New York,10004,1.00,,,,,,,,,,
Preferred Bank,Active,Preferred Bank,Preferred*Bank*,"Input 'Preferred Bank' clean, active.",True,3,Preferred Bank,10628,252452,Active,131010.0,MO,205 Main St,Rothville,64676,1.00,Preferred Bank,33539,1918344,Active,7468405.0,CA,601 S Figueroa St,Los Angeles,90017,1.00
Premier Bank,Active,Premier Bank,Premier*Bank*,"Input 'Premier Bank' clean, active.",True,8,Premier Bank,21714,33259,Active,1090398.0,MN,2866 White Bear Ave N,Maplewood,55109,1.00,Premier Bank,34384,2539960,Active,744635.0,IA,1004 21st Ave,Rock Valley,51247,1.00
Prival Bank,Active,Prival Bank,Prival*Bank*,"Input 'Prival Bank' clean, active.",False,0,,,,,,,,,,,,,,,,,,,,
Prosperity Bank,Active,Prosperity Bank,Prosperity*Bank*,"Input 'Prosperity Bank' clean, active.",True,3,Prosperity Bank,16835,664756,Active,38360065.0,TX,1301 N Mechanic St,El Campo,77437,1.00,Prosperity Bank,24963,879532,Inactive,747548.0,FL,100 South Park Boulevard,Saint Augustine,32086,1.00
